@relation dataset

@attribute attribute0 numeric
@attribute attribute1 numeric
@attribute attribute2 numeric
@attribute attribute3 numeric
@attribute attribute4 numeric
@attribute attribute5 numeric
@attribute attribute6 numeric
@attribute attribute7 numeric
@attribute attribute8 numeric
@attribute attribute9 numeric
@attribute attribute19 numeric
@attribute attribute20 numeric
@attribute attribute21 numeric
@attribute attribute22 numeric
@attribute class {weka.classifiers.meta.ClassificationViaRegression,weka.classifiers.functions.MultilayerPerceptron,weka.classifiers.trees.RandomForest,weka.classifiers.bayes.BayesNet,weka.classifiers.meta.LogitBoost,weka.classifiers.rules.JRip,weka.classifiers.trees.LMT,weka.classifiers.lazy.KStar,weka.classifiers.meta.MultiClassClassifier,weka.classifiers.meta.RandomCommittee,weka.classifiers.meta.RandomSubSpace,weka.classifiers.rules.DecisionTable,weka.classifiers.meta.Bagging,weka.classifiers.lazy.LWL,weka.classifiers.bayes.NaiveBayes,weka.classifiers.meta.AttributeSelectedClassifier,weka.classifiers.functions.Logistic,weka.classifiers.lazy.IBk,weka.classifiers.meta.AdaBoostM1,weka.classifiers.functions.SMO,weka.classifiers.trees.J48,weka.classifiers.trees.RandomTree,weka.classifiers.meta.Vote}

@data
3,1.464275,0.442308,0.153846,21,3,0.875,24,52,3,1,1,0,0,weka.classifiers.rules.JRip
3,1.31432,0.461538,0.076923,20,3,0.869565,23,52,3,1,1,0,0,weka.classifiers.meta.LogitBoost
2,0.106388,0.985981,0.014019,32,0,1,32,856,0,1,1,0,0,weka.classifiers.trees.LMT
4,1.999067,0.257683,0.235225,18,0,1,18,846,0,1,1,0,0,weka.classifiers.trees.LMT
2,0.962308,0.613793,0.386207,0,16,0,16,435,3,0,0,0,0,weka.classifiers.functions.MultilayerPerceptron
11,3.459432,0.090909,0.090909,10,3,0.769231,13,990,2,1,1,0,0,weka.classifiers.lazy.KStar
3,1.584879,0.3384,0.3306,40,0,1,40,5000,0,1,1,0,0,weka.classifiers.meta.MultiClassClassifier
2,0.940286,0.642857,0.357143,0,4,0,4,14,2,0,0,0,0,weka.classifiers.trees.RandomForest
2,0.940286,0.642857,0.357143,2,2,0.5,4,14,2,1,1,0,0,weka.classifiers.trees.RandomForest
4,1.312839,0.603175,0.015873,27,4,0.870968,31,63,3,1,1,0,0,weka.classifiers.meta.RandomCommittee
3,1.566822,0.398876,0.269663,13,0,1,13,178,0,1,1,0,0,weka.classifiers.meta.MultiClassClassifier
2,0.742488,0.789474,0.210526,5,0,1,5,38,0,1,0,0,0,weka.classifiers.meta.ClassificationViaRegression
6,2.321709,0.272446,0.024768,0,12,0,12,323,2,0,0,0,0,weka.classifiers.meta.ClassificationViaRegression
6,2.361956,0.310507,0.040338,0,12,0,12,1066,1,0,0,0,0,weka.classifiers.meta.RandomSubSpace
5,1.189834,0.761693,0.008909,6,32,0.157895,38,898,1,1,1,0,0,weka.classifiers.meta.RandomCommittee
13,2.401386,0.542035,0.004425,206,73,0.738351,279,452,1,0,1,0,0,weka.classifiers.trees.LMT
24,3.421947,0.252212,0.004425,0,69,0,69,226,2,0,0,0,0,weka.classifiers.functions.MultilayerPerceptron
2,0.991231,0.555072,0.444928,6,8,0.428571,14,690,2,1,1,0,0,weka.classifiers.rules.DecisionTable
6,2.272474,0.326829,0.014634,15,10,0.6,25,205,2,0,0,0,0,weka.classifiers.trees.RandomForest
3,1.318116,0.4608,0.0784,4,0,1,4,625,0,1,1,0,0,weka.classifiers.functions.MultilayerPerceptron
2,0.994575,0.543333,0.456667,2,8,0.2,10,600,2,1,1,0,0,weka.classifiers.meta.Bagging
2,0.877845,0.702797,0.297203,0,9,0,9,286,2,0,0,0,0,weka.classifiers.lazy.LWL
2,0.929318,0.655222,0.344778,9,0,1,9,699,0,1,0,0,0,weka.classifiers.meta.ClassificationViaRegression
7,2.408313,0.411215,0.018692,3,9,0.25,12,107,3,1,0,0,0,weka.classifiers.bayes.NaiveBayes
7,2.408313,0.411215,0.018692,0,12,0,12,107,3,0,0,0,0,weka.classifiers.bayes.NaiveBayes
4,1.205741,0.700231,0.037616,0,6,0,6,1728,3,0,0,0,0,weka.classifiers.functions.MultilayerPerceptron
3,1.539035,0.42702,0.226069,2,7,0.222222,9,1473,2,1,1,0,0,weka.classifiers.meta.AttributeSelectedClassifier
2,0.950338,0.630435,0.369565,7,15,0.318182,22,368,2,0,0,0,0,weka.classifiers.trees.RandomForest
3,1.326088,0.625,0.166667,0,4,0,4,24,2,0,0,0,0,weka.classifiers.functions.Logistic
2,0.991231,0.555072,0.444928,6,9,0.4,15,690,2,0,0,0,0,weka.classifiers.lazy.LWL
2,0.881291,0.7,0.3,7,13,0.35,20,1000,2,1,1,0,0,weka.classifiers.trees.RandomForest
2,0.982474,0.577778,0.422222,18,21,0.461538,39,540,1,1,0,0,0,weka.classifiers.trees.LMT
6,2.432597,0.306011,0.054645,1,33,0.029412,34,366,2,0,0,0,0,weka.classifiers.bayes.BayesNet
2,0.933134,0.651042,0.348958,8,0,1,8,768,0,1,1,0,0,weka.classifiers.meta.ClassificationViaRegression
8,2.188746,0.425595,0.005952,7,0,1,7,336,0,1,1,0,0,weka.classifiers.trees.RandomForest
3,1.567052,0.40625,0.28125,0,56,0,56,32,2,0,0,0,0,weka.classifiers.trees.LMT
2,0.747394,0.786885,0.213115,2,0,1,2,61,0,1,1,0,0,weka.classifiers.lazy.IBk
2,1,0.5,0.5,0,58,0,58,106,2,0,0,0,0,weka.classifiers.meta.LogitBoost
2,1,0.5,0.5,0,6,0,6,432,2,0,0,0,0,weka.classifiers.meta.RandomSubSpace
2,1,0.5,0.5,0,6,0,6,124,2,0,0,0,0,weka.classifiers.functions.MultilayerPerceptron
2,0.913596,0.671296,0.328704,0,6,0,6,432,2,0,0,0,0,weka.classifiers.functions.MultilayerPerceptron
2,0.957117,0.621302,0.378698,0,6,0,6,169,2,0,0,0,0,weka.classifiers.functions.MultilayerPerceptron
2,0.997772,0.527778,0.472222,0,6,0,6,432,2,0,0,0,0,weka.classifiers.meta.MultiClassClassifier
2,0.999806,0.508197,0.491803,0,6,0,6,122,2,0,0,0,0,weka.classifiers.meta.ClassificationViaRegression
5,2.262084,0.290761,0.142663,14,5,0.736842,19,736,8,1,0,0,0,weka.classifiers.rules.DecisionTable
3,1.566248,0.389722,0.262436,24,3,0.888889,27,10936,2,1,1,0,0,weka.classifiers.trees.RandomForest
6,2.176534,0.35514,0.042056,9,0,1,9,214,0,1,1,0,0,weka.classifiers.trees.RandomForest
4,1.924028,0.316129,0.122581,2,6,0.25,8,155,3,1,1,0,0,weka.classifiers.bayes.NaiveBayes
2,0.994265,0.544554,0.455446,6,7,0.461538,13,303,2,1,0,0,0,weka.classifiers.meta.AdaBoostM1
2,0.943134,0.639456,0.360544,6,7,0.461538,13,294,2,1,0,0,0,weka.classifiers.lazy.LWL
2,0.991076,0.555556,0.444444,13,0,1,13,270,0,1,1,0,0,weka.classifiers.trees.LMT
2,0.734645,0.793548,0.206452,6,13,0.315789,19,155,2,1,0,0,0,weka.classifiers.lazy.KStar
2,0.941829,0.641026,0.358974,34,0,1,34,351,0,0,1,0,0.028547,weka.classifiers.meta.RandomCommittee
3,1.584963,0.333333,0.333333,2,0,1,2,150,0,1,1,0,0,weka.classifiers.functions.Logistic
3,1.584963,0.333333,0.333333,4,0,1,4,150,0,1,1,0,0,weka.classifiers.functions.MultilayerPerceptron
2,0.998576,0.522215,0.477785,0,36,0,36,3196,2,0,0,0,0,weka.classifiers.trees.LMT
2,0.934849,0.649123,0.350877,8,8,0.5,16,57,3,0,0,0,0,weka.classifiers.functions.MultilayerPerceptron
6,2.50273,0.235,0.1055,36,0,1,36,2000,0,1,1,0,0,weka.classifiers.trees.RandomForest
6,2.473385,0.241714,0.093574,36,0,1,36,4435,0,1,1,0,0,weka.classifiers.trees.RandomForest
26,4.699811,0.04065,0.0367,16,0,1,16,20000,0,1,1,0,0,weka.classifiers.trees.RandomForest
2,0.981589,0.57971,0.42029,6,0,1,6,345,0,1,1,0,0,weka.classifiers.trees.RandomForest
4,1.227678,0.547297,0.013514,3,15,0.166667,18,148,2,1,1,0,0,weka.classifiers.lazy.KStar
10,3.321928,0.1,0.1,216,0,1,216,2000,0,1,1,0,0,weka.classifiers.functions.SMO
10,3.321928,0.1,0.1,76,0,1,76,2000,0,1,1,0,0,weka.classifiers.trees.RandomForest
10,3.321928,0.1,0.1,64,0,1,64,2000,0,1,1,0,0,weka.classifiers.functions.SMO
10,3.321928,0.1,0.1,6,0,1,6,2000,0,1,1,0,0,weka.classifiers.trees.LMT
2,1,0.5,0.5,0,57,0,57,106,2,0,0,0,0,weka.classifiers.trees.RandomForest
8,2.54634,0.309278,0.020619,25,3,0.892857,28,194,2,1,1,0,0,weka.classifiers.trees.J48
2,0.907323,0.677273,0.322727,7,0,1,7,440,0,1,1,0,0,weka.classifiers.meta.AdaBoostM1
6,2.535535,0.26,0.12,28,0,1,28,300,0,1,1,0,0,weka.classifiers.trees.RandomForest
3,1.584963,0.333333,0.333333,4,0,1,4,24,0,1,1,0,0,weka.classifiers.trees.LMT
42,5.392317,0.02381,0.02381,71,0,1,71,2142,0,1,1,0,0,weka.classifiers.trees.RandomForest
2,0.791645,0.762032,0.237968,4,0,1,4,748,0,1,1,0,0,weka.classifiers.meta.MultiClassClassifier
2,0.950567,0.630137,0.369863,24,15,0.615385,39,365,1,1,1,0,0,weka.classifiers.lazy.KStar
2,0.869138,0.709677,0.290323,10,1,0.909091,11,62,1,0,1,0,0,weka.classifiers.trees.RandomForest
2,0.987727,0.565126,0.434874,166,0,1,166,476,0,1,1,0,0,weka.classifiers.functions.MultilayerPerceptron
2,0.620099,0.845862,0.154138,166,0,1,166,6598,0,1,1,0,0,weka.classifiers.functions.MultilayerPerceptron
3,0.857797,0.814286,0.057143,4,3,0.571429,7,70,2,1,1,0,0,weka.classifiers.trees.RandomTree
6,2.461925,0.328571,0.1,4,3,0.571429,7,70,2,1,1,0,0,weka.classifiers.trees.RandomForest
6,2.461925,0.328571,0.1,2,5,0.285714,7,70,2,1,1,0,0,weka.classifiers.meta.LogitBoost
2,0.981589,0.57971,0.42029,6,0,1,6,345,0,1,1,0,0,weka.classifiers.trees.RandomForest
2,0.907166,0.677419,0.322581,6,0,1,6,310,0,1,1,0,0,weka.classifiers.meta.RandomCommittee
2,0.863121,0.714286,0.285714,12,0,1,12,182,0,1,1,0,0,weka.classifiers.meta.Vote
2,0.999397,0.514458,0.485542,5,0,1,5,830,0,1,1,0,0,weka.classifiers.meta.ClassificationViaRegression
3,1.584521,0.344371,0.324503,5,0,1,5,151,0,1,1,0,0,weka.classifiers.lazy.IBk
2,0.420191,0.914815,0.085185,20,0,1,20,540,0,1,1,0,0,weka.classifiers.meta.ClassificationViaRegression
28,3.879543,0.201351,0.001351,20,0,1,20,740,0,1,1,0,0,weka.classifiers.meta.RandomSubSpace
5,1.716496,0.333333,0.000154,0,8,0,8,12960,2,0,0,0,0,weka.classifiers.functions.MultilayerPerceptron
12,2.643874,0.410792,0.000479,10,0,1,10,20867,0,1,1,0,0,weka.classifiers.rules.DecisionTable
